target_id,domain,name_zh,name_en,aliases,total_publication_query,query,pubmed_total_count_20y,pubmed_retracted_count_20y,retraction_rate_percent,retractions_per_1000_publications,retrieved_pmids,error,last_checked
beta-carotene,口服/补剂,β-胡萝卜素,Beta-Carotene,beta carotene; beta-carotene,"(""beta carotene""[Title] OR ""beta-carotene""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""beta carotene""[Title] OR ""beta-carotene""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1130,2,0.177,1.77,22854406;17448905,,2026-09-21
alpha-lipoic-acid,口服/补剂,α-硫辛酸,Alpha-Lipoic Acid,alpha lipoic acid; alpha-lipoic acid,"(""alpha lipoic acid""[Title] OR ""alpha-lipoic acid""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""alpha lipoic acid""[Title] OR ""alpha-lipoic acid""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",963,6,0.623,6.23,35930219;34450170;30745578;22448096;19019027;16460684,,2026-09-21
nac,口服/补剂,NAC/N-乙酰半胱氨酸,N-Acetylcysteine,N-acetylcysteine; N acetylcysteine; NAC,"(""N-acetylcysteine""[Title] OR ""N acetylcysteine""[Title] OR ""NAC""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""N-acetylcysteine""[Title] OR ""N acetylcysteine""[Title] OR ""NAC""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1453,4,0.275,2.75,36090543;35795313;34258270;30446769,,2026-09-21
glutathione,口服/补剂,谷胱甘肽,Glutathione,Glutathione,"(""Glutathione""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Glutathione""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",2862,3,0.105,1.05,37478726;34157031;24987684,,2026-09-21
glycine,口服/补剂,甘氨酸,Glycine,Glycine,"(""Glycine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Glycine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1406,2,0.142,1.42,36106391;29843553,,2026-09-21
taurine,口服/补剂,牛磺酸,Taurine,Taurine,"(""Taurine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Taurine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1478,5,0.338,3.38,33146779;30396066;28118062;20830294;18414974,,2026-09-21
l-carnitine,口服/补剂,左旋肉碱,L-Carnitine,L-carnitine; levocarnitine,"(""L-carnitine""[Title] OR ""levocarnitine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""L-carnitine""[Title] OR ""levocarnitine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1271,2,0.157,1.57,34326917;23843223,,2026-09-21
acetyl-l-carnitine,口服/补剂,乙酰左旋肉碱,Acetyl-L-Carnitine,acetyl-L-carnitine; acetyl carnitine,"(""acetyl-L-carnitine""[Title] OR ""acetyl carnitine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""acetyl-L-carnitine""[Title] OR ""acetyl carnitine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",156,0,0.000,0.00,,,2026-09-21
citrulline,口服/补剂,瓜氨酸,Citrulline,Citrulline,"(""Citrulline""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Citrulline""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",603,1,0.166,1.66,30206378,,2026-09-21
arginine,口服/补剂,精氨酸,Arginine,Arginine,"(""Arginine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Arginine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",3295,4,0.121,1.21,37615707;32114003;30054435;23812551,,2026-09-21
beta-alanine,口服/补剂,β-丙氨酸,Beta-Alanine,Beta-Alanine,"(""Beta-Alanine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Beta-Alanine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",318,0,0.000,0.00,,,2026-09-21
hmb,口服/补剂,HMB,HMB,HMB,"(""HMB""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""HMB""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",128,0,0.000,0.00,,,2026-09-21
collagen-type-ii,口服/补剂,二型胶原,Type II Collagen,type II collagen; undenatured type II collagen,"(""type II collagen""[Title] OR ""undenatured type II collagen""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""type II collagen""[Title] OR ""undenatured type II collagen""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",132,0,0.000,0.00,,,2026-09-21
glucosamine,口服/补剂,氨糖,Glucosamine,Glucosamine,"(""Glucosamine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Glucosamine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",563,1,0.178,1.78,31998780,,2026-09-21
chondroitin,口服/补剂,软骨素,Chondroitin,Chondroitin,"(""Chondroitin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Chondroitin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",459,0,0.000,0.00,,,2026-09-21
msm,口服/补剂,MSM,Methylsulfonylmethane,methylsulfonylmethane; MSM,"(""methylsulfonylmethane""[Title] OR ""MSM""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""methylsulfonylmethane""[Title] OR ""MSM""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",256,0,0.000,0.00,,,2026-09-21
boswellia,口服/补剂,乳香提取物,Boswellia,Boswellia,"(""Boswellia""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Boswellia""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",192,1,0.521,5.21,23111960,,2026-09-21
ashwagandha,口服/补剂,南非醉茄,Ashwagandha,Ashwagandha,"(""Ashwagandha""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Ashwagandha""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",159,0,0.000,0.00,,,2026-09-21
rhodiola,口服/补剂,红景天,Rhodiola,Rhodiola,"(""Rhodiola""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Rhodiola""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",210,2,0.952,9.52,35784643;35602107,,2026-09-21
ginseng,口服/补剂,人参,Ginseng,Ginseng,"(""Ginseng""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Ginseng""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1555,3,0.193,1.93,29628975;24806341;22570673,,2026-09-21
maca,口服/补剂,玛咖,Maca,Maca,"(""Maca""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Maca""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",127,1,0.787,7.87,26998182,,2026-09-21
ginkgo,口服/补剂,银杏,Ginkgo,Ginkgo,"(""Ginkgo""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Ginkgo""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",737,1,0.136,1.36,29207671,,2026-09-21
bacopa,口服/补剂,婆罗米,Bacopa,Bacopa,"(""Bacopa""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Bacopa""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",124,1,0.806,8.06,35992047,,2026-09-21
